threshold,holding_period,n_events,mean_return,median_return,std_return,win_rate,t_stat,p_value,significant
-0.01,1,350,-0.0016676651575565171,-0.0005282345721513692,0.02380233494892032,0.4857142857142857,-1.3088865540500378,0.9042830159576387,False
-0.01,3,350,-0.0005247645879746667,0.001439904253289019,0.030779385354921897,0.5114285714285715,-0.31850576013233023,0.6248540776537908,False
-0.01,5,350,0.0031642432860070654,0.0022219149266346277,0.036826704913507216,0.5371428571428571,1.605165137930742,0.054680960394834055,False
-0.01,10,350,0.0053134785225956846,0.0068317347180924595,0.051085976245583906,0.5571428571428572,1.9430767080511677,0.02640534252897553,True
-0.01,15,349,0.008316304799144662,0.00943642581731513,0.06456109109434496,0.5673352435530086,2.4029744810009372,0.008392610623723672,True
-0.01,20,349,0.011049663541416633,0.011506586130361682,0.07466416305519542,0.5816618911174785,2.7607461476183266,0.0030362705095170325,True
-0.015,1,214,-0.0015559508141238763,-0.0012922483561973817,0.027569226812233127,0.48130841121495327,-0.8236848527709348,0.7944800200541484,False
-0.015,3,214,0.0011386990579419203,0.0025120920953423634,0.03517785378147314,0.5186915887850467,0.47242124920436307,0.3185549046688005,False
-0.015,5,214,0.0066833162753593255,0.00718374533908544,0.0426888798741529,0.5467289719626168,2.284899255312194,0.011651736287836126,True
-0.015,10,214,0.006471591852359553,0.007275637074879465,0.057695310491360445,0.5514018691588785,1.6370442035235895,0.05154889944692157,False
-0.015,15,214,0.009182890713961835,0.007692398690052588,0.07470966598453041,0.5560747663551402,1.7938760132659126,0.03712565297687561,True
-0.015,20,214,0.010903398488191919,0.010796694900883683,0.08753141776375852,0.5794392523364486,1.8179742328907786,0.03523644552551847,True
-0.02,1,128,-0.002611045681095237,-0.002142135655894272,0.029975933443015055,0.46875,-0.9816204890173558,0.8359234204730289,False
-0.02,3,128,0.00043869170810174657,0.000716517230453545,0.04118366952711364,0.5,0.12004283567894249,0.45231945627766496,False
-0.02,5,128,0.00328102627360356,0.0011977765217548934,0.04749772846180568,0.5,0.7784643491344029,0.21887164886621488,False
-0.02,10,128,0.008969590564019716,0.017096867494328837,0.06494432397140068,0.5703125,1.5564432102106776,0.06104562971290789,False
-0.02,15,128,0.00889096375250848,0.009070483644923542,0.08309638980521111,0.578125,1.2057812999658108,0.11507174249940087,False
-0.02,20,128,0.013574742728186366,0.020527643874497382,0.0971796566981654,0.625,1.5741934732663487,0.05896532349967595,False
-0.025,1,78,-0.005846490704984622,-0.0015016195086801542,0.03824652006939566,0.48717948717948717,-1.3413703425664305,0.9081283791519895,False
-0.025,3,78,4.0873680574844195e-05,0.000773213553453345,0.04661899128235086,0.5,0.007693540369709444,0.4969407007839358,False
-0.025,5,78,0.005181089533379455,0.010978634309986225,0.05251309616367035,0.5512820512820513,0.8657626280803385,0.19465494983538137,False
-0.025,10,78,0.012598023243653765,0.024055795544257727,0.07248611886420435,0.6282051282051282,1.5250810368492673,0.0656679736543842,False
-0.025,15,78,0.01184506594854751,0.011552001184911048,0.09571828181131002,0.5897435897435898,1.085895295004491,0.1404566135957208,False
-0.025,20,78,0.0206364003904912,0.023547294578991816,0.10548191734563274,0.6282051282051282,1.7167272179663557,0.04502468373053621,True
-0.03,1,55,-0.004179479428759034,-0.002120556845645806,0.04374767783926998,0.4909090909090909,-0.7020435709889592,0.7571664537739753,False
-0.03,3,55,0.0032222551836959923,-0.00037941058860783847,0.04818763018300734,0.4909090909090909,0.4913842613416108,0.31257303326976826,False
-0.03,5,55,0.009310147392360368,0.013345410827121488,0.061328487994017286,0.5636363636363636,1.11555549243009,0.13477616779837936,False
-0.03,10,55,0.009319890899481513,0.01908768988700252,0.08125226528197717,0.6,0.8428925796559431,0.20150329881472426,False
-0.03,15,55,0.0181660008082695,0.02210581647886231,0.1096489678060586,0.6181818181818182,1.2174514782287367,0.11436301996672689,False
-0.03,20,55,0.02986774811779899,0.046083631219543474,0.11884634815044325,0.6545454545454545,1.8467730088425272,0.03513130891611056,True
